Lake-link,Space,SpaceSpec,MaxDeep,AvrDeep,Long,Wide,Latitude,Longitude
https://www.wassertemperatur.org/deutschland/bayern/grosser-alpsee/,,,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/grubsee/,3.75,km²,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/gruentensee/,123.4,ha,,,,,,
https://www.wassertemperatur.org/oesterreich/goesselsdorfer-see/,32.0,ha,,,,,,
https://www.wassertemperatur.org/oesterreich/hafnersee/,15.9,ha,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/hahnenkammsee/,23.0,ha,,,,,,
https://www.wassertemperatur.org/oesterreich/hallstaettersee/,8.55,km²,,,,,,
https://www.wassertemperatur.org/seen/schweiz/hallwilersee/,10.3,km²,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/hammersee/,31.0,ha,,,,,,
https://www.wassertemperatur.org/deutschland/baden-wuerttemberg/hardtsee/,,,,,,,,
https://www.wassertemperatur.org/deutschland/nrw/heider-bergsee/,35.4,ha,,,,,,
https://www.wassertemperatur.org/deutschland/schleswig-holstein/hemmelsdorfer-see/,4.6,km²,,,,,,
https://www.wassertemperatur.org/deutschland/baden-wuerttemberg/hemsbacher-wiesensee/,24.0,ha,,,,,,
https://www.wassertemperatur.org/deutschland/nrw/hennesee/,,,,,,,,
https://www.wassertemperatur.org/oesterreich/heratinger-see/,25.0,ha,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/hintersee/,16.4,ha,,,,,,
https://www.wassertemperatur.org/oesterreich/hintersee/,68.0,ha,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/hollerner-see/,40.0,ha,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/hopfensee/,,,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/hoeglwoerther-see/,13.5,ha,,,,,,
https://www.wassertemperatur.org/seen/schweiz/huettwilersee/,34.0,ha,,,,,,
https://www.wassertemperatur.org/idrosee/,11.0,km²,,,,,,
https://www.wassertemperatur.org/deutschland/bayern/igelsbachsee/,,,,,,,,
https://www.wassertemperatur.org/deutschland/baden-wuerttemberg/illmensee/,64.0,ha,,,,,,
https://www.wassertemperatur.org/bodensee/immenstaad-am-bodensee/,,,,,,,,
